price;title;location;surface;rooms
5500000;Mieszkanie Warszawa Mokotów, ul. Chodkiewicza;Mokotów;171.9;4
770000;Mieszkanie Warszawa Praga-Południe, ul. Stanów Zjednoczonych;Praga-Południe;54.6;2
599000;Mieszkanie Warszawa Żoliborz, ul. Przasnyska;Żoliborz;32.5;2
759000;Mieszkanie Warszawa Śródmieście, ul. gen. Władysława Andersa;Śródmieście;52.13;2
580000;Mieszkanie Warszawa Targówek, ul. Radzymińska;Targówek;45.8;2
818000;Mieszkanie Warszawa Ochota, ul. Barska;Ochota;54.5;2
698000;Mieszkanie Warszawa Stary Żoliborz;Stary Żoliborz;33.42;2
699000;Mieszkanie Warszawa Śródmieście Północne, ul. Przechodnia;Śródmieście Północne;38.8;2
1080000;Mieszkanie Warszawa Praga-Południe, ul. Łukowska;Praga-Południe;86.1;4
730000;Nowe mieszkanie Warszawa Czerniaków;Czerniaków;54.83;3
849000;Mieszkanie Warszawa Praga-Południe, ul. Kakowskiego;Praga-Południe;69.79;3
353330;Mieszkanie Warszawa Praga-Południe, ul. Rogalskiego;Praga-Południe;31.36;1
530000;Mieszkanie Warszawa Śródmieście;Śródmieście;41.7;2
638000;Mieszkanie Warszawa Czyste, ul. Ludwiki;Czyste;33.22;1
1442000;Mieszkanie Warszawa Wola, ul. Jana Długosza;Wola;85.0;4
670000;Mieszkanie Warszawa Gocław, ul. Bora-Komorowskiego;Gocław;63.6;3
1650000;Mieszkanie Warszawa Stary Mokotów, ul. Różana;Stary Mokotów;79.0;3
2300000;Nowe mieszkanie Warszawa Mokotów, ul. Górska;Mokotów;110.08;4
692600;Mieszkanie Warszawa Śródmieście, ul. Tamka;Śródmieście;41.04;1
530000;Mieszkanie Warszawa Praga-Południe, ul. Korytnicka;Praga-Południe;52.0;2
619000;Mieszkanie Warszawa Nowolipki, ul. Esperanto;Nowolipki;46.34;3
433800;Nowe mieszkanie Warszawa Praga-Południe;Praga-Południe;29.0;1
1408700;Nowe mieszkanie Warszawa Wola, ul. Kolejowa;Wola;63.38;3
475000;Mieszkanie Warszawa Śródmieście, ul. Wilanowska;Śródmieście;30.0;1
1046000;Nowe mieszkanie Warszawa Śródmieście, ul. Grzybowska 37;Śródmieście;46.62;2
768000;Nowe mieszkanie Warszawa;mazowieckie;114.0;4
